Name,Type,Sub_Type,Faction,Prefixes,Suffixes,Food_Cost,Wood_Cost,Gold_Cost,Favor_Cost,Pop_Cost,Training_Time,Buildpoints,Hitpoints,Line_of_Sight,Attack_Type,Rate_of_fire,Bonus_Multiplier,Maximum_range,Hack_Damage,Pierce_Damage,Divine_Damage,Crush_Damage,Hack_Armor,Pierce_Armor,Crush_Armor,Velocity,Focus,Description,God_Of
ring giver,tech,,,,,,,125.0,25.0,,30,,,,,,,,,,,,,,,,,"• Njord bestows prestigious rings upon your Jarls,
increasing their hitpoints and causing them to do extra
damage to myth units.
• Jarl: Hitpoints +20%
• Jarl: Adds 1.00 to Melee Attack Damage Bonus against
Myth Unit
",
ring oath,tech,,,,,,,150.0,10.0,,5.2,,,,,,,,,,,,,,,,,"• Ullr vows to defend the realm of men, allowing his
Asgardian Bastion God Power to be recast with a greatly
reduced Favor cost.
• Player: -50% Asgardian Bastion Favor cost
",
rising tide,tech,,,,,,150.0,50.0,20.0,,10,,,,,,,,,,,,,,,,,"• Gonggong grants your Qinglongs the force of the tides,
allowing them to attack faster as they gain combat
experience.
* Qinglong: Enables Veterancy, which boosts the Qinglong
with -25% Attack Interval per tier
• Veterancy Tier 1: 150 Damage
e Veterancy Tier 2: 500 Damage
",
roar of orthus,tech,,,,,300.0,,,20.0,,40,,,,,,,,,,,,,,,,,"• Aphrodite upgrades Nemean Lions to Nemean Rexes,
whose roars have a greater area of effect.
- Nemean Lion: Roar Damage Area +100%
",
rock solid,tech,,,,,,150.0,,20.0,,40,,,,,,,,,,,,,,,,,"• Niiba encases myth units in gravel shields, increasing their
armor, especially while standing still.
• Myth Unit: Enables Rock Solid, which reduces hack and
pierce armor while standing still up to a maximum of -40%
Vulnerability
• Myth Unit: Vulnerability to Hack attacks -10%
• Myth Unit: Vulnerability to Pierce attacks -10%
",
sacred armor,tech,,,,,400.0,,400.0,,,50,,,,,,,,,,,,,,,,,"« Sacred Armor improves human soldier, hero, and ship
resistance to hack attacks, such as swords. It also makes
ships more resistant to crush attacks, such as siege weapons.
• Human Soldier: Vulnerability to Hack attacks -10%
• Hero: Vulnerability to Hack attacks -15%
• Ship: Vulnerability to Hack attacks -10%
• Ship: Vulnerability to Crush attacks -10%
",
sacred cats,tech,,,,,,,55.0,10.0,,30,,,,,,,,,,,,,,,,,"• Bast's cats protect Granaries from vermin, improving all
Food gather rates.
* Villager: Gather Work Rate for Farm +5%
* Villager: Gather Work Rate for Huntable +10%
* Villager: Gather Work Rate for Herdable +10%
• Villager: Gather Work Rate for Berry Bush +10%
",
sacred custodians,tech,,,,,25.0,,25.0,,,20,,,,,,,,,,,,,,,,,"• Mikos heal faster and can pick up Relics.
• Miko (Hero): Heal Work Rate for Unit +50%
• Miko (Hero): Enables Pickup Action
",
sacred land,tech,,,,,,,100.0,15.0,,30,,,,,,,,,,,,,,,,,"« Under Persephone’s cycle-turning gaze, Farms heal nearby
allied units.
• Farm: Enables Area Heal Action
",
sacred shields,tech,,,,,,400.0,350.0,,,50,,,,,,,,,,,,,,,,,"• Sacred Shields improve human soldier, hero, and ship
resistance to pierce attacks, such as arrows.
• Human Soldier: Vulnerability to Pierce attacks -10%
- Hero: Vulnerability to Pierce attacks -15%
• Ship: Vulnerability to Pierce attacks -10%
",
safeguard,tech,,,,,,100.0,,12.0,,40,,,,,,,,,,,,,,,,,"• Heimdall increases wall and tower hitpoints and makes all
buildings cost less Gold.
• Sentry Tower: Hitpoints +25%
• Wall: Hitpoints +25%
• Building: Gold cost -50%
",
sakura gardens,tech,,,,,250.0,250.0,,10.0,,20,,,,,,,,,,,,,,,,,"• Causes Shrines to summon cherry trees, if there aren't
many nearby.
• Shrine: Enables Cherry Spawn Action
",
salt amphora,tech,,,,,,200.0,300.0,,,30,,,,,,,,,,,,,,,,,"• Fishing Ships gather fish faster and carry more.
• Fishing Ship: Gather Work Rate for Fish +50%
• Fishing Ship: Adds 25.00 to Food Carry Capacity
",
saltwater spring,tech,,,,,,,125.0,12.0,,20,,,,,,,,,,,,,,,,,"• Minakatatomi causes Commoners to hunt faster.
• Villager: Gather Work Rate for Huntable +10%
",
sarissa,tech,,,,,,125.0,,20.0,,40,,,,,,,,,,,,,,,,,"• Athena's technology extends the range of Hoplite attacks,
and enables them to inflict more damage.
• Hoplite: Adds 0.50 to Melee Attack Maximum Range
• Hoplite: Melee Attack Damage (Hack) +10%
",
sashimono bannermen,tech,,,,,,200.0,,20.0,,30,,,,,,,,,,,,,,,,,"• Inari Okami increases cavalry hitpoints and causes them to
deal bonus damage to other cavalry.
• Cavalry: Hitpoints +10%
• Cavalry: Adds 0.20 to All Actions Damage Bonus against
Cavalry
",
scalloped axe,tech,,,,,50.0,,,10.0,,30,,,,,,,,,,,,,,,,,"• Ptah's invention increases the attack of Axemen.
« Axeman: Melee Attack Damage (All Types) +15%
",
scorching feathers,tech,,,,,,150.0,,30.0,,40,,,,,,,,,,,,,,,,,"• Niiba scorches the arrows, bolts, and javelins of your
ranged soldiers, allowing them to melt away enemy armor
and attack faster.
• Ranged Soldier: Enable Scorching Feathers, which reduces
enemy Pierce and Hack Armor by 1% per hit for 5 seconds
« Ranged Soldier: Attack speed increased by +5%
",
seaside infiltrators,tech,,,,,200.0,100.0,,20.0,,40,,,,,,,,,,,,,,,,,"• Watatsumi increases Shinobi speed and allows them to
• Shinobi: Speed +10%
",
secrets of the titans,tech,,,,,800.0,800.0,800.0,50.0,,60,,,,,,,,,,,,,,,,,"• Unlocking the Secrets of the Titans will give you a god
power that allows placement of the Titan Gate.
",
serpent skirt,tech,,,,,,,200.0,15.0,,15,,,,,,,,,,,,,,,,,"• Coatlicue summons Anacondas from your destroyed
buildings, to defend the area temporarily.
• Building Small: Spawn 2 Anaconda upon Death
• Building Large: Spawn 4 Anaconda upon Death
• Wonder: Spawn 8 Anaconda upon Death
",
serpent spear,tech,,,,,125.0,,,12.0,,40,,,,,,,,,,,,,,,,,"• Anubis grants your Spearmen weapons coated with
venom, which inflict damage over time.
• Spearman: Add 0.125 Divine damage over time towards
Unit (Excluding Siege) for 6.0 seconds.
",
servants of glory,tech,,,,,200.0,,,10.0,,,,,,,,,,,,,,,,,,,"e Ulir's determination improves the movement speed of
Longhouse units, and allows them to use a short burst of
speed after standing idle.
• Hirdman: Speed +5%
• Throwing Axeman: Speed +5%
• Berserk: Speed +5%
• Hirdman: Enables Action
• Throwing Axeman: Enables Action
• Berserk: Enables Action
",
sessrumnir,tech,,,,,100.0,100.0,,10.0,,20,,,,,,,,,,,,,,,,,"• Freyja improves the hitpoints of your heroes, and allows
Godi's to be trained an age earlier.
• Hero: Hitpoints +10%
• Godi (Hero) enabled
",
shaduf,tech,,,,,,100.0,,10.0,,20,,,,,,,,,,,,,,,,,"• Ptah's invention reduces the cost of Farms and enables
Laborers to build them faster.
• Farm: Gold cost -50%
• Farm: Build time -50%
",
shaft mine,tech,,,,,150.0,250.0,,,,40,,,,,,,,,,,,,,,,,"• Villagers gather Gold faster and carry more.
• Villager: Gather Work Rate for Gold •15%
• Villager: Adds 5.00 to Gold Carry Capacity
",
shafts of plague,tech,,,,,,,300.0,30.0,,40,,,,,,,,,,,,,,,,,"• Artemis sends your ranged soldiers her Shafts of Plague,
increasing their attack and causing them to poison enemies.
• Ranged Soldier: Ranged Attack Damage (All Types) +10%
• Ranged Soldier: Add 0.25 Divine damage over time
towards Unit (Excluding Siege) for 6.0 seconds.
",
shaker of heaven,tech,,,,,,,350.0,30.0,,40,,,,,,,,,,,,,,,,,"• Gonggong shares godly powers with your heroes,
increasing their hitpoints and damage against myth units.
• Hero: Hitpoints +30%
• Hero: Adds 1.00 to All Actions Damage Bonus against
Myth Unit
",
shards of itztli,tech,,,,,,150.0,,15.0,,40,,,,,,,,,,,,,,,,,"• Itzpapalotl studs Arrow Canoes with her obsidian,
increasing their attack.
• Arrow Canoe: All Actions Damage (All Types) +30%
",
shoulder of talos,tech,,,,,,,300.0,20.0,,50,,,,,,,,,,,,,,,,,"• Hephaestus reforges Silver Colossi into Gold Colossi,
which have more hitpoints and hack armor.
• Colossus: Hitpoints +25%
« Colossus: Vulnerability to Hack attacks -20%
",
signal fires,tech,,,,,,150.0,,,,30,,,,,,,,,,,,,,,,,"« Increases line of sight for all buildings.
• Building not Walls: Adds 6.00 LOS
",
silent resolve,tech,,,,,240.0,,,25.0,,40,,,,,,,,,,,,,,,,,"• Vidar's stoic silence inspires your Berserks to gather
J) strength when idle, slowly increasing their damage when
SA] they are still.
• Berserk: Enables Idle Damage Bonus Action
",
silk road,tech,,,,,,50.0,75.0,,,40,,,,,,,,,,,,,,,,,"• Enables Caravans one Age earlier and makes them move
faster over Favored Land. Caravan trading with allies grants
your allies extra resources.
• Mechanical Ox Caravan enabled
",
sinister defiance,tech,,,,,150.0,,50.0,15.0,,40,,,,,,,,,,,,,,,,,"• Houtu instills defiance in your Qiongqi, increasing their
armor for each nearby enemy unit.
* Qiongqi: Gain 1% Hack & Pierce armor for each enemy
unit within 6 range (Max: 25)
",
skin of the rhino,tech,,,,,50.0,,,5.0,,15,,,,,,,,,,,,,,,,,"• Ra improves the armor of Laborers, making them more
resistant to attacks.
• Laborer: Vulnerability to Hack attacks -25%
• Laborer: Vulnerability to Pierce attacks -25%
",
sky fire,tech,,,,,,,150.0,15.0,,60,,,,,,,,,,,,,,,,,"• Sky Lanterns explode when destroyed, damaging nearby
enemy units and buildings.
• Sky Lantern: Adds 1 to VFX Skylantern Ground Fire Area
spawning upon Projectile Hit Ground
• Sky Lantern: Adds 1 to VFX Skylantern Water Fire Area
spawning upon Projectile Hit Ground
",
slash and burn,tech,,,,,,,125.0,20.0,,30,,,,,,,,,,,,,,,,,"• Zhurong's technique drastically reduces the cost of Farms
and increases their gather rate.
• Villager: Gather Work Rate for Farm •15%
• Farm: Wood cost -80%
",
slings of the sun,tech,,,,,,,100.0,15.0,,40,,,,,,,,,,,,,,,,,"• Sekhmet equips Slingers with burning Slings of the Sun,
causing them to do extra damage to infantry.
• Slinger: Adds 0.75 to Ranged Attack Damage Bonus
against Infantry
",
sojutsu,tech,,,,,,,150.0,28.0,,30,,,,,,,,,,,,,,,,,"• Yari Spearman move and attack much faster.
• Yari Spearman: Melee Attack Attack Interval -15%
• Yari Spearman: Speed +15%
",
solar barque,tech,,,,,,150.0,,10.0,,30,,,,,,,,,,,,,,,,,"• Sobek occasionally summons Sea Snakes near enemy ships
that your Kebenits are attacking.
« Kebenit: Summons 3 Sea Snakes for each 200 Damage
dealt to naval units
",
son of loong,tech,,,,,,,150.0,10.0,,40,,,,,,,,,,,,,,,,,"• Chiyou increases Yazi hitpoints and damage.
• Yazi: Hitpoints +15%
• Yazi: All Actions Damage (All Types) +25%
",
song of midsummer,tech,,,,,200.0,,,15.0,,40,,,,,,,,,,,,,,,,,"• Zhurong protects your Zhuque, increasing their hitpoints
and letting them rapidly regenerate when landed.
• Zhuque: Enables Healing Descent Action
• Zhuque (Landed): Adds 40.00 to Regeneration Rate
• Zhuque: Hitpoints +25%
• Zhuque (Landed): Hitpoints +25%
",
sons of sleipnir,tech,,,,,150.0,,,20.0,,40,,,,,,,,,,,,,,,,,"• Baldr increases cavalry damage, especially against human
ranged soldiers.
• Cavalry: Melee Attack Damage (All Types) +20%
• Cavalry: Adds 1.00 to Melee Attack Damage Bonus against
Ranged Soldier
",
sons of the sun,tech,,,,,,,200.0,15.0,,40,,,,,,,,,,,,,,,,,"• Hyperion converts all Oracles to Heroes, and any newly
trained Oracles are Heroes.
• Oracle (Hero) enabled
• Oracle (Hero): Sets Favor cost to 0.00
",
southern fire,tech,,,,,150.0,150.0,,20.0,,,,,,,,,,,,,,,,,,,,
spear of horus,tech,,,,,250.0,,,25.0,,40,,,,,,,,,,,,,,,,,"• Horus lends Spearmen his weapon of retribution,
increasing their attack and allowing them to counter cavalry
more effectively.
• Spearman: Melee Attack Damage (All Types) +10%
• Spearman: Adds 1.00 to Melee Attack Damage Bonus
against Cavalry
",
spirit of maat,tech,,,,,,,100.0,25.0,,30,,,,,,,,,,,,,,,,,"• Nephthys increases the healing rate of Pharaohs and
Priests, and lowers the cost of Priests.
• Healer: Heal Work Rate for Unit +50%
• Priest (Hero): Gold cost -30%
",
spirited charge,tech,,,,,125.0,,,20.0,,40,,,,,,,,,,,,,,,,,"• Hermes increases the attack and speed of cavalry and
Centaurs.
• Cavalry: Speed +10%
• Centaur: Speed +10%
• Cavalry: Melee Attack Damage (All Types) +10%
• Centaur: Ranged Attack Damage (All Types) +10%
",
spoils of war,tech,,,,,,,250.0,25.0,,30,,,,,,,,,,,,,,,,,"* Chiyou drives you to pillage resources when you destroy
enemy buildings.
« Player: 50% of destroyed enemy buildings cost awarded to
the player.
",
sting of yappan,tech,,,,,,,150.0,15.0,,30,,,,,,,,,,,,,,,,,"(p<,
• Malinalxochitl grants your War Hut soldiers the sting of
the scorpion, causing their attacks to inflict poison damage
over time.
• Tlamanih Spearman: Add 0.1 Divine damage over time
towards Unit (Excluding Siege) for 6.0 seconds
* Tequihua Archer: Add 0.1 Divine damage over time
towards Unit (Excluding Siege) for 6.0 seconds
",
stone wall atlantean,tech,,,,,200.0,,200.0,,,40,,,,,,,,,,,,,,,,,"• Upgrades Walls to Stone Walls, which have more hitpoints
and line of sight.
• Wall: Hitpoints +100%
• Wall: Adds 7.00 LOS
• Wall: Vulnerability to Hack attacks -10%
",
stone wall aztec,tech,,,,,200.0,,200.0,,,40,,,,,,,,,,,,,,,,,"« Upgrades Walls to Stone Walls, which have more hitpoints
and line of sight.
• Wall: Hitpoints +100%
• Wall: Adds 7.00 LOS
• Wall: Vulnerability to Hack attacks -10%
",
stone wall chinese,tech,,,,,200.0,,200.0,,,40,,,,,,,,,,,,,,,,,"• Upgrades Walls to Stone Walls, which have more hitpoints
and line of sight.
• Wall: Hitpoints +100%
• Wall: Adds 7.00 LOS
• Wall: Vulnerability to Hack attacks -10%
",
stone wall egyptian,tech,,,,,200.0,,200.0,,,40,,,,,,,,,,,,,,,,,"• Upgrades Walls to Stone Walls, which have more hitpoints
and line of sight.
• Wall: Hitpoints +100%
• Wall: Adds 7.00 LOS
• Wall: Vulnerability to Hack attacks -10%
",
stone wall greek,tech,,,,,200.0,,200.0,,,40,,,,,,,,,,,,,,,,,"• Upgrades Walls to Stone Walls, which have more hitpoints
and line of sight.
• Wall: Hitpoints +100%
• Wall: Adds 7.00 LOS
• Wall: Vulnerability to Hack attacks -10%
",
stone wall japanese,tech,,,,,200.0,,200.0,,,40,,,,,,,,,,,,,,,,,"• Upgrades Walls to Stone Walls, which have more hitpoints
and line of sight.
• Wall: Hitpoints +100%
• Wall: Adds 7.00 LOS
• Wall: Vulnerability to Hack attacks -10%
",
stone wall norse,tech,,,,,200.0,,200.0,,,40,,,,,,,,,,,,,,,,,"• Upgrades Walls to Stone Walls, which have more hitpoints
and line of sight.
• Wall: Hitpoints +100%
• Wall: Adds 7.00 LOS
• Wall: Vulnerability to Hack attacks -10%
",
stoneskin quinametzin,tech,,,,,300.0,,200.0,15.0,,40,,,,,,,,,,,,,,,,,"• Xolotl upgrades Quinametzin to Stoneskin Quinametzin,
which have more range, attack, and hitpoints.
* Quinametzin: All Actions Damage (All Types) +25%
• Quinametzin: Hitpoints +30%
• Quinametzin: Adds 2.00 to Ranged Attack Maximum
Range
• Quinametzin: Adds 2.00 LOS
",
string of hearts,tech,,,,,300.0,,,15.0,,50,,,,,,,,,,,,,,,,,"* Coatlicue's necklace of dismembered hands and hearts
compels human soldiers to inflict damage, especially crush,
making them more effective against buildings.
« Human Soldier: Adds 1.00 to Melee Attack Damage
(Crush)
- Human Soldier: Adds 1.00 to Ranged Attack Damage
(Crush)
« Human Soldier: Adds 1.00 to Jump Attack Damage (Crush)
« Human Soldier: All Actions Damage (All Types) +10%
",
summon terracotta riders,tech,,,,,150.0,,150.0,,,2,,,,,,,,,,,,,,,,,"e Each Chinese Town Center can summon Terracotta Riders
once for urgent defense. Loses hitpoints over time,
especially quickly when not on Favored Land.
",
sumo training,tech,,,,,150.0,,,30.0,,30,,,,,,,,,,,,,,,,,"• Takemikazuchi increases infantry hitpoints and bonus
| damage against buildings.
• Infantry: Hitpoints +20%
• Infantry: Adds 0.50 to All Actions Damage Bonus against
Building
",
sun ray,tech,,,,,100.0,,,20.0,,30,,,,,,,,,,,,,,,,,"• Apollo imbues the projectiles fired by your units with
sunlight, causing them to inflict more damage and reveal
their surroundings.
• Ranged Unit: Ranged Attack Damage (All Types) +15%
• Ranged Unit: Adds 20.00 Projectile LoS
",
sun-dried mud-brick,tech,,,,,,200.0,,20.0,,15,,,,,,,,,,,,,,,,,,
survival equipment,tech,,,,,,150.0,150.0,,,20,,,,,,,,,,,,,,,,,"• Makes Villagers more durable by increasing their hitpoints
and attack.
• Villager: Hitpoints +25%
• Villager: Melee Attack Damage (All Types) +25%
• Villager: Ranged Attack Damage (All Types) •50%
",
swine array,tech,,,,,,125.0,,15.0,,50,,,,,,,,,,,,,,,,,"• Bragi's battle formation makes Hirdmen inflict more
damage, especially to cavalry.
• Hirdman: Melee Attack Damage (All Types) +10%
• Hirdman: Adds 2.00 to Melee Attack Damage Bonus
against Cavalry
",
sylvan lore,tech,,,,,,250.0,,18.0,,40,,,,,,,,,,,,,,,,,"• Hermes upgrades Centaurs to Centaur Polemarchs, which
have more hitpoints, range, and line of sight.
• Centaur: Adds 3.00 to Ranged Attack Maximum Range
• Centaur: Adds 3.00 to Charged Ranged Attack Maximum
Range
• Centaur: Adds 1.00 LOS
• Centaur: Hitpoints +35%
",
tai chi,tech,,,,,,100.0,,10.0,,40,,,,,,,,,,,,,,,,,"• Fuxi's philosophy causes heroes to train faster, and
improves their hack and pierce armor.
• Hero: Vulnerability to Pierce attacks -10%
• Hero: Vulnerability to Hack attacks -10%
• Hero: Train time -25%
",
tax collectors,tech,,,,,200.0,,200.0,,,35,,,,,,,,,,,,,,,,,"• Improves market exchange rates and reduces the tax on
sending resources to other players.
Player: Tribute Penalty Reduction -50%
• Player: Market Buy penalty reduced by -25%.
• Player: Market Sell penalty reduced by -25%.
",
tecciztecatl's penance,tech,,,,,,250.0,,,,30,,,,,,,,,,,,,,,,,"• Coyolxauhqui increases the Favor earned by devoting
Settlers.
« Settler: Devote Work Rate for Favor +15%
",
temiminaloyan trials,tech,,,,,400.0,,150.0,,,30,,,,,,,,,,,,,,,,,"« Upgrades Tzompantli Watch Towers allowing them shoot
an additional projectile, and increasing the amount of slow
inflicted.
• Tzompantli Tower: Adds 1 to Ranged Attack Number of
Projectiles
• Sentry Tower: Ranged Attack ensnares All to 75.00% of
their speed for 2.00 seconds.
• Sentry Tower: Melee Attack ensnares All to 75.00% of
their speed for 2.00 seconds.
",
tempestuous storm,tech,,,,,100.0,,150.0,30.0,,40,,,,,,,,,,,,,,,,,"• Gonggong shares godly powers with your heroes,
increasing their hitpoints and damage against myth units.
• Hero: Hitpoints +30%
• Hero: Adds 1.00 to All Actions Damage Bonus against
Myth Unit
",
temple of healing,tech,,,,,,,75.0,12.0,,30,,,,,,,,,,,,,,,,,"• Apollo allows your Temples to heal nearby allied units.
• Temple: Enables Area Heal Action
",
temporal chaos,tech,,,,,,100.0,50.0,10.0,,20,,,,,,,,,,,,,,,,,"• Player:
• Player:
• Player:
• Player:
poral Chaos
• Kronos increases the number of buildings that can be
simultaneously time-shifted, and reduces the cost of time-
shifting defensive buildings.
: Add 2 to Maximum Concurrent Timeshifts
-50% Time Shift cost for Palace
-50% Time Shift cost for Sentry Tower
-50% Time Shift cost for Mirror Tower
",
tenshu,tech,,,,,,350.0,,20.0,,40,,,,,,,,,,,,,,,,,"• Tsukuyomi improves the damage and line of sight of your
Towers and Castles.
* Tower: All Actions Damage (All Types) +40%
• Fortresses: All Actions Damage (All Types) •20%
* Tower: Adds 5.00 LOS
• Fortresses: Adds 5.00 LOS
",
ten-fist sword,tech,,,,,150.0,,150.0,25.0,,40,,,,,,,,,,,,,,,,,"• Takemikazuchi increases Samurai attack and causes them
to summon a Masterless Sword upon dying, which can deal
one final strike.
• Samurai: All Actions Damage (All Types) +10%
• Samurai: Adds 1 to Masterless Sword spawning upon
Death
• Hatamoto Samurai: Adds 1 to Masterless Sword spawning
upon Death
",
tepeyollotl's reach,tech,,,,,,,150.0,10.0,,30,,,,,,,,,,,,,,,,,"* Tezcatlipoca increases the damage and jump distance of
Ocelot! Warriors and Jaguar Riders.
* Ocelot! Warrior: All Actions Damage (All Types) +15%
• Jaguar Rider: All Actions Damage (All Types) +15%
* Ocelot! Warrior: Adds 2.00 to Jump Attack Maximum
Range
• Jaguar Rider: Adds 2.00 to Jump Attack Maximum Range
",
teponaztli drums,tech,,,,,,,150.0,10.0,,40,,,,,,,,,,,,,,,,,"- Huehuec6yotl increases the speed of your villagers,
human soldiers, and heroes.
• Villager: Speed •10%
« Human Soldier: Speed +10%
« Hero: Speed +10%
",
theft of fire,tech,,,,,,100.0,,12.0,,30,,,,,,,,,,,,,,,,,"• Prometheus increases the rate at which Hero Citizens
gather resources and construct buildings.
• Citizen (Hero):
• Citizen (Hero):
• Citizen (Hero):
• Citizen (Hero):
• Citizen (Hero):
• Citizen (Hero):
• Citizen (Hero):
Gather Work Rate for Farm +20%
Gather Work Rate for Huntable +20%
Gather Work Rate for Herdable +20%
Gather Work Rate for Berry Bush +20%
Gather Work Rate for Gold +20%
Gather Work Rate for Wood +20%
Build Work Rate for Building +20%
",
thorned walls,tech,,,,,,150.0,,15.0,,40,,,,,,,,,,,,,,,,,"• Pan’s protection allows walls to deal damage when
attacked by melee units.
- Wall: Enables Reflect Attack Action
• Wall: Adds 3.00 to Reflect Attack Damage (Hack)
",
thracian horses,tech,,,,,150.0,,,30.0,,40,,,,,,,,,,,,,,,,,"• Dionysus provides your cavalry with the carnivorous
Thracian Horses, which regain hitpoints when they attack
‘| enemy units.
Cavalry: Lifesteals for 30.00% of damage dealt by All
Actions against a Unit.
",
thundering hooves,tech,,,,,150.0,,,20.0,,30,,,,,,,,,,,,,,,,,"• Freyja improves cavalry and Valkyrie speed and hitpoints.
• Cavalry: Speed +10%
• Valkyrie: Speed +10%
• Cavalry: Hitpoints +10%
Valkyrie: Hitpoints +10%
",
thunderous presence,tech,,,,,250.0,,,22.0,,40,,,,,,,,,,,,,,,,," Raijin increases Raiju movement speed and damage.
• Raiju: All Actions Damage (All Types) +35%
• Raiju: Speed +10%
",
thurisaz rune,tech,,,,,,100.0,,20.0,,30,,,,,,,,,,,,,,,,,"• Bragi brands myth units with the Thurisaz Rune,
increasing their speed and causing them to regenerate
hitpoints.
« Myth Unit: Speed +10%
« Myth Unit: Adds 0.50 to Regeneration Rate
",
titan shield,tech,,,,,,200.0,75.0,15.0,,40,,,,,,,,,,,,,,,,,"Atlas increases the pierce armor of your Destroyers.
• Destroyer: Vulnerability to Pierce attacks -50%
• Destroyer (Hero): Vulnerability to Pierce attacks -50%
",
titanomachy,tech,,,,,250.0,,,20.0,,40,,,,,,,,,,,,,,,,,"• Helios upgrades Centimani to Wardens of Tartarus, which
have additional arms and attack faster.
• Centimanus: Melee Attack Damage (All Types) +50%
",
tlaloques,tech,,,,,150.0,,,20.0,,15,,,,,,,,,,,,,,,,,"* Tlaloc sends the Tlaloques to assist your people,
significantly reducing the cost and research time of Calpulli
improvements, and granting 75 gold for each Calpulli
research completed.
• Calpulli: Food cost of Techs -90%
* Calpulli: Wood cost of Techs -90%
* Calpulli: Gold cost of Techs -90%
• Calpulli: Favor cost of Techs -90%
• Calpulli: Research Rate +300%
• Player: Adds +75.00 Gold to your inventory
",
toloache trance,tech,,,,,,,200.0,20.0,,40,,,,,,,,,,,,,,,,,"• Malinalxochitl imbues your warriors’ weapons with the
effects of toloache, numbing the minds of enemies with
every strike, slowing their attack speed.
« Human Soldier: Reduce Unit (Excluding Siege) attack
speed by 2% for 5.0 seconds, stacking
",
tonacatepetl,tech,,,,,,,,,,,,,,,,,,,,,,,,,,,"* Tlaloc’s mountain of sustenance inspires Settlers near
Livestock Pens to gather food faster, especially from
• Calpulli (Livestock Pen): Villagers gather work rate +15%
from Farm
• Calpulli (Livestock Pen): Villagers gather work rate +50%
from Huntables
• Calpulli (Livestock Pen): Villagers gather work rate +50%
from Herdables
",
torch of misfortune,tech,,,,,,300.0,,20.0,,40,,,,,,,,,,,,,,,,,"• Xolotl upgrades Soul Guides to Soul Masters, which can
use chain lightning attacks.
* Soul Guide: Enables Ranged Attack Action
",
tusks of apedemak,tech,,,,,250.0,,,15.0,,40,,,,,,,,,,,,,,,,,"• Thoth makes War Elephants stronger, cheaper, and
reduces their population cost.
• War Elephant: Melee Attack Damage (All Types) +10%
• War Elephant: Food cost -10%
• War Elephant: Gold cost -10%
• War Elephant: Adds -1 Population Count
",
twilight of the gods,tech,,,,,100.0,100.0,,18.0,,50,,,,,,,,,,,,,,,,,"• Vidar's destiny to survive Ragnarok grants your human
soldiers more hitpoints and enables them to inflict extra
SS
y \~} damage to heroes.
• Human Soldier: Hitpoints +10%
• Human Soldier: Adds 0.20 to All Actions Damage Bonus
against Hero
",
twisted limbs,tech,,,,,200.0,,200.0,25.0,,40,,,,,,,,,,,,,,,,,"* Xolotl contorts the bodies of Ocelot! Warriors, allowing
their Leap ability to deal more damage and increasing their
hitpoints.
• Ocelot! Warrior: Jump Attack Damage (All Types) +25%
* Ocelot! Warrior: Hitpoints +20%
",
tzompantli watch tower,tech,,,,,,250.0,150.0,,,15,,,,,,,,,,,,,,,,,"• Upgrades Tzompantli Towers into Tzompantli Watch
Towers, adding an attack that slows enemies.
• Sentry Tower: Enables Ranged Attack Action
• Sentry Tower: Ranged Attack ensnares All to 85.00% of
their speed for 2.00 seconds.
• Sentry Tower: Melee Attack ensnares All to 85.00% of
their speed for 2.00 seconds.
",
valgaldr,tech,,,,,,,180.0,15.0,,20,,,,,,,,,,,,,,,,,"• Ullr's magic upgrades Draugar to Revenant Draugar,
which harness the chilling touch of winter for improved
range and attack damage.
• Draugr: All Actions Damage (All Types) +20%
• Draugr: Adds 5.00 to Ranged Attack Maximum Range
• Draugr: Adds 5.00 to Charged Ranged Attack Maximum
Range
• Draugr: Adds 5.00 LOS
",
valley of the kings,tech,,,,,,,500.0,40.0,,20,,,,,,,,,,,,,,,,,"• Thoth teaches secrets that cause Barracks and Migdol
Strongholds to spawn additional units when empowered.
« Empowerer: Sets Empowering rate for Double Train
Chance to 1.00
",
vaults of erebus,tech,,,,,,200.0,,15.0,,40,,,,,,,,,,,,,,,,,,
vibrant land,tech,,,,,,200.0,,10.0,,30,,,,,,,,,,,,,,,,,"• Goumang brings an early spring, causing trees to
| periodically grow near Houses and allowing you to gather
wood faster and deposit it into Houses.
• Villager: Gather Work Rate for Wood +15%
• House: Now functions as a wood dropsite, and summons a
tree every 120 seconds
",
vikings,tech,,,,,175.0,,,25.0,,40,,,,,,,,,,,,,,,,,"• Njord causes Raiding Cavalry to produce Gold in addition
to Favor while fighting enemy units, and deal additional
divine damage.
• Raiding Cavalry: Adds 1.00 to Melee Attack Damage
(Divine)
• Player: Add 10.00 Gold to Raiding Cavalry Bounty earning
reward
",
volcanic forge,tech,,,,,100.0,,50.0,15.0,,40,,,,,,,,,,,,,,,,,"« Leto summons Hephaestus to harden the armor of your
Automatons, soldiers, heroes, and ships, making them more
resistant to pierce attacks, such as arrows.
• Automaton: Vulnerability to Pierce attacks -20%
• Human Soldier: Vulnerability to Pierce attacks -15%
• Hero: Vulnerability to Pierce attacks -15%
",
watch tower atlantean,tech,,,,,,250.0,150.0,,,15,,,,,,,,,,,,,,,,,,
watch tower chinese,tech,,,,,,250.0,150.0,,,15,,,,,,,,,,,,,,,,,,
watch tower egyptian,tech,,,,,,50.0,100.0,,,15,,,,,,,,,,,,,,,,,,
